,Title,Year,imdbID,Rated,Director,Actors,Language,Plot,IMDb_link,Runtime,BoxOffice,IMDb,RT,Meta,poster_path,backdrop_path,Watched,Season
14,Android Apocalypse,2006,tt0470023,PG-13,Paul Ziller,"Wendy Anderson, Scott Bairstow, Ian Black",English,"In an age when Machines dominate the world, the fate of man rests in the hands of an outlaw and an android.",https://www.imdb.com/title/tt0470023,95,,4.0,,,/h6DkAZAcDgoJQbKlkC4ZNgrdh9J.jpg,/uxlYQKsoOkBgR9PxgeZDUh1GbhZ.jpg,False,10.0
15,Aniara,2018,tt7589524,R,"Pella Kagerman, Hugo Lilja","Emelie Garbers, Bianca Cruzeiro, Arvin Kananian","Swedish, Spanish, English","A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe.",https://www.imdb.com/title/tt7589524,106,40124.0,6.3,71.0,61.0,/pEpEJe8NTmwWL0hwYkZguTzEqzt.jpg,/mz8xBEIl1l18e2ToNlV1Tt5HVmJ.jpg,False,8.0
16,Annihilation,2018,tt2798920,R,Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson",English,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",https://www.imdb.com/title/tt2798920,115,32732301.0,6.8,88.0,79.0,/1dRweZy8DxGDhJFqiOA4Ni3I1ie.jpg,/9trZvBr44UGedUOiGo3jgSUw13e.jpg,True,7.0
17,Another Earth,2011,tt1549572,PG-13,Mike Cahill,"Brit Marling, William Mapother, Matthew-Lee Erlbach",English,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",https://www.imdb.com/title/tt1549572,92,1321194.0,6.9,67.0,66.0,/qvGJK3lFzpifAdyIupMNdWNX0qr.jpg,/fJfpZnS2pvFCtyaDqoIgKLASvAT.jpg,False,5.0
18,Arrival,2016,tt2543164,PG-13,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker","English, Mandarin, Russian","Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial vi...",https://www.imdb.com/title/tt2543164,116,100546139.0,7.9,94.0,81.0,/pEzNVQfdzYDzVK0XqxERIw2x2se.jpg,/r8FD6CC3GgjWaGVkZh00AcedfpA.jpg,True,5.0
19,Assault Girls,2009,tt1478800,Not Rated,Mamoru Oshii,"Yoshikazu Fujiki, Rinko Kikuchi, Meisa Kuroki","Japanese, English",In the aftermath of a global thermonuclear war three battle tested women wage war in a virtual video game against giant mutant sand whales.,https://www.imdb.com/title/tt1478800,65,,3.8,,,/2m71925BHKULBlAkLtw0pazLUit.jpg,/38jmP1ndBCGrzNdZ0jtr5iUILja.jpg,True,4.0
20,Asteroid City,2023,tt14230388,PG-13,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",English,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted fo...",https://www.imdb.com/title/tt14230388,105,28153025.0,6.5,76.0,74.0,/qdq40gRS8xKnpFt5V75t6lUHgpx.jpg,/gcbZ2ZdVzfBsGmfjTy8g7UaZS16.jpg,True,9.0
21,Attack from Outer Space,1979,tt12658910,,Wheeler Dixon,Sidney Paul,English,An examination of the evidence that aliens and UFO's have already visited Earth.,https://www.imdb.com/title/tt12658910,96,,,,,/dNmJwg1jfOydg4bPMj7TYhCdeUp.jpg,,True,3.0
22,Avalon,2001,tt0267287,R,Mamoru Oshii,"Malgorzata Foremniak, Wladyslaw Kowalski, Jerzy Gudejko",Polish,"In a dystopian world, a woman spends her time playing an illegal and dangerous game, hoping to find meaning in her world.",https://www.imdb.com/title/tt0267287,107,,6.4,83.0,,/xm8byLTLqscSae3vFJDDggNeH1j.jpg,/cf8qwkSTSuHrRH9yIKfM6QYoCtB.jpg,True,5.0
23,Back to the Future,1985,tt0088763,PG,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",English,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://www.imdb.com/title/tt0088763,116,214077472.0,8.5,93.0,87.0,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,/hxSB02ksqnkXY4hPGAXqgO2fL01.jpg,False,7.0
